,endTime,artistName,trackName,msPlayed
1856,2021-04-20 23:51,Engelbert Humperdinck,Can't Take My Eyes Off You,198199
1857,2021-04-20 23:51,Antônio Carlos Jobim,The Girl From Ipanema,852
1858,2021-04-20 23:51,Charles Trenet,"Vous, Qui Passez Sans Me Voir",6506
1859,2021-04-20 23:52,Chorus - Sleeping Beauty,J'en ai rêvé,4928
1860,2021-04-20 23:52,Symon,Paris,3690
1861,2021-04-20 23:52,Raquel Mello,Quero Descer,2517
1862,2021-04-20 23:52,Raquel Mello,Quero Descer,5397
1863,2021-04-20 23:52,Louise Verneuil,Love Corail,2453
1864,2021-04-20 23:52,Louise Verneuil,Love Corail,4885
1865,2021-04-20 23:52,David Bowie,Heroes - Single Version; 1990 Remaster,3626
1866,2021-04-20 23:52,Fréhel,Si tu n'étais pas là,1685
1867,2021-04-20 23:55,Jean Sablon,Ces petites choses,190987
1868,2021-04-20 23:57,Maurice Chevalier,Paris sera toujours Paris,71413
1869,2021-04-21 00:02,Madeleine Peyroux,La Javanaise,249400
1870,2021-04-21 00:05,Angèle,Nombreux,192546
1871,2021-04-21 00:06,Line Renaud,Vous qui passez sans me voir - Remasterisé en 2013,17646
1872,2021-04-21 00:07,Billie Holiday,Blue Moon,1471
1873,2021-04-21 00:07,Line Renaud,Étoile des neiges,6475
1874,2021-04-21 00:07,Elvis Presley,Can't Help Falling in Love,3157
1875,2021-04-21 00:08,Line Renaud,Vous qui passez sans me voir - Remasterisé en 2013,0
1876,2021-04-21 00:11,Ella Fitzgerald,Dream A Little Dream Of Me - Single Version,185160
1877,2021-04-21 00:13,Sacha Distel,La belle vie,123053
1878,2021-04-21 00:16,Keren Ann,Jardin d'hiver,178160
1879,2021-04-21 00:19,Ben Mazué,La mer est calme,1877
1880,2021-04-21 00:19,Édith Piaf,La vie en rose,186973
1881,2021-04-21 00:19,Serge Gainsbourg,La javanaise,15533
1882,2021-04-21 00:19,Frank Sinatra,Come Fly With Me - Remastered,3669
1883,2021-04-21 00:19,Eagles,Hotel California - 2013 Remaster,2986
1884,2021-04-21 00:20,Arctic Monkeys,From The Ritz To The Rubble,25280
1885,2021-04-21 00:20,Maroon 5,Sugar,2346
1886,2021-04-21 00:20,Maroon 5,Sugar,7488
1887,2021-04-21 00:20,Drake,One Dance,2346
1888,2021-04-21 00:25,Arctic Monkeys,Do I Wanna Know?,272394
1889,2021-04-21 00:26,Luidji,Pour deux âmes solitaires (Part.1),10922
1890,2021-04-21 00:26,Linkin Park,Numb,1343
1891,2021-04-21 00:26,Arctic Monkeys,A Certain Romance,1642
1892,2021-04-21 00:26,Lewis Capaldi,Someone You Loved,74732
1893,2021-04-21 00:26,Henri Salvador,Jardin d'hiver,5162
1894,2021-04-21 00:29,Henri Salvador,Jardin d'hiver,162857
1895,2021-04-21 00:30,The Hot Sardines,Petite Fleur,6784
1896,2021-04-21 00:30,Paul Anka,Put Your Head On My Shoulder,23885
